iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,hypervolume_2d,reference_obj_0,reference_obj_1,loss
0,initial,40,12000,300.0,4,-6.193360328674316,41.932682037353516,-182.1816864013672,-168.30584716796875,313.83874136750995,5.774044537544251,-189.15641250610352,
1,train,46,13800,300.0,4,-4.971369743347168,41.932682037353516,-182.39491271972656,-168.30584716796875,313.83874136750995,5.774044537544251,-189.15641250610352,4.795455371856689
2,train,52,15600,300.0,4,-6.221403121948242,41.932682037353516,-181.9846954345703,-168.30584716796875,313.83874136750995,5.774044537544251,-189.15641250610352,4.789570980072021
3,train,58,17400,300.0,4,-6.792288780212402,41.932682037353516,-181.81629943847656,-168.30584716796875,313.83874136750995,5.774044537544251,-189.15641250610352,4.7869476871490475
4,train,64,19200,300.0,4,-7.204732894897461,41.932682037353516,-181.7764434814453,-168.30584716796875,313.83874136750995,5.774044537544251,-189.15641250610352,4.784515083312988
5,train,70,21000,300.0,4,-7.228394985198975,41.932682037353516,-181.6697998046875,-168.30584716796875,313.83874136750995,5.774044537544251,-189.15641250610352,4.781603904724121
6,train,76,22800,300.0,4,-7.169429779052734,41.932682037353516,-181.6571807861328,-168.30584716796875,313.83874136750995,5.774044537544251,-189.15641250610352,4.78013242149353
7,train,82,24600,300.0,5,-6.643294811248779,41.932682037353516,-181.16778564453125,-168.2512969970703,497.2787946530601,-3.012322261929512,-189.15914001464844,4.778492908477784
8,train,88,26400,300.0,5,-6.085497856140137,41.932682037353516,-181.17401123046875,-168.2512969970703,497.2787946530601,-3.012322261929512,-189.15914001464844,4.774737348556519
9,train,94,28200,300.0,5,-6.023850440979004,41.932682037353516,-180.84396362304688,-168.2512969970703,497.2787946530601,-3.012322261929512,-189.15914001464844,4.772773923873902
10,train,100,30000,300.0,5,-6.260333061218262,41.932682037353516,-180.78041076660156,-168.2512969970703,497.2787946530601,-3.012322261929512,-189.15914001464844,4.7717161483764645
11,train,106,31800,300.0,6,-6.220871448516846,41.932682037353516,-180.6129913330078,-164.4300537109375,997.1523889051482,-25.713835525512696,-189.35020217895507,4.77008411026001
12,train,112,33600,300.0,6,-6.076205253601074,41.932682037353516,-180.69406127929688,-164.4300537109375,997.1523889051482,-25.713835525512696,-189.35020217895507,4.766996036529541
13,train,118,35400,300.0,6,-6.091014862060547,41.932682037353516,-180.481201171875,-164.4300537109375,997.1523889051482,-25.713835525512696,-189.35020217895507,4.767314813613892
14,train,124,37200,300.0,6,-6.030888557434082,41.932682037353516,-180.34439086914062,-164.4300537109375,997.1523889051482,-25.713835525512696,-189.35020217895507,4.764362455368042
15,train,130,39000,300.0,6,-6.1532979011535645,41.932682037353516,-180.3004913330078,-164.4300537109375,997.1523889051482,-25.713835525512696,-189.35020217895507,4.7633775596618655
16,train,136,40800,300.0,6,-6.132395267486572,41.932682037353516,-180.21070861816406,-164.4300537109375,997.1523889051482,-25.713835525512696,-189.35020217895507,4.7627222442626955
17,train,142,42600,300.0,7,-6.535324573516846,41.932682037353516,-180.06423950195312,-164.4300537109375,1008.0348843207199,-25.713835525512696,-189.35020217895507,4.7603833255767825
18,train,148,44400,300.0,7,-6.666604995727539,41.932682037353516,-179.8875274658203,-163.90476989746094,833.8203679408041,-17.694938373565673,-189.3764663696289,4.758837654113769
19,train,154,46200,300.0,8,-6.601352214813232,41.932682037353516,-179.74404907226562,-163.90476989746094,835.1370354450198,-17.694938373565673,-189.3764663696289,4.758553960800171
20,train,160,48000,300.0,8,-6.838403224945068,41.932682037353516,-179.57980346679688,-163.90476989746094,835.1370354450198,-17.694938373565673,-189.3764663696289,4.754401319503784
21,train,166,49800,300.0,8,-6.781683921813965,41.932682037353516,-179.63888549804688,-163.90476989746094,856.0667312450539,-17.694938373565673,-189.3764663696289,4.752150379180908
22,train,172,51600,300.0,8,-6.634243488311768,41.932682037353516,-179.42718505859375,-163.90476989746094,856.0667312450539,-17.694938373565673,-189.3764663696289,4.750906009674072
23,train,178,53400,300.0,7,-6.2980217933654785,41.932682037353516,-179.25424194335938,-163.90476989746094,963.4434594465137,-17.694938373565673,-189.3764663696289,4.750343486785889
24,train,184,55200,300.0,7,-6.197720527648926,41.932682037353516,-179.18072509765625,-163.90476989746094,963.4434594465137,-17.694938373565673,-189.3764663696289,4.749697662353515
25,train,190,57000,300.0,7,-6.6122541427612305,41.932682037353516,-179.03857421875,-161.5260009765625,877.9694000750611,-13.259068489074707,-189.49540481567382,4.7481956272125245
26,train,196,58800,300.0,5,-6.582091808319092,41.932682037353516,-178.8358154296875,-161.5260009765625,946.8352738261053,-13.259068489074707,-189.49540481567382,4.747061697006226
27,train,202,60600,300.0,7,-6.323877811431885,41.932682037353516,-178.5959930419922,-161.5260009765625,954.2075961932239,-13.259068489074707,-189.49540481567382,4.743740339279174
28,train,208,62400,300.0,7,-5.998739242553711,41.932682037353516,-178.47901916503906,-161.5260009765625,965.4980214068962,-13.259068489074707,-189.49540481567382,4.743803205490113
29,train,214,64200,300.0,7,-6.205644130706787,41.932682037353516,-178.33526611328125,-161.5260009765625,965.4980214068962,-13.259068489074707,-189.49540481567382,4.740129905700684
30,train,220,66000,300.0,7,-6.322284698486328,41.932682037353516,-178.25096130371094,-161.5260009765625,965.4980214068962,-13.259068489074707,-189.49540481567382,4.739979583740235
31,train,226,67800,300.0,7,-6.406952381134033,41.932682037353516,-178.18173217773438,-161.5260009765625,965.4980214068962,-13.259068489074707,-189.49540481567382,4.740903512954712
32,train,232,69600,300.0,7,-6.598809242248535,41.932682037353516,-178.0572967529297,-161.5260009765625,965.4980214068962,-13.259068489074707,-189.49540481567382,4.739756784439087
33,train,238,71400,300.0,7,-6.572084903717041,41.932682037353516,-178.01040649414062,-161.5260009765625,965.4980214068962,-13.259068489074707,-189.49540481567382,4.737561609268188
34,train,244,73200,300.0,8,-6.377857685089111,41.932682037353516,-177.87210083007812,-161.5260009765625,965.5977807164088,-13.259068489074707,-189.49540481567382,4.735261356353759
35,train,250,75000,300.0,8,-6.3565826416015625,41.932682037353516,-177.7100372314453,-161.5260009765625,965.5977807164088,-13.259068489074707,-189.49540481567382,4.734427213668823
